observer,age,luminance,s_frequency,col_dir_id,bkg_id,ge_sigma,ge_lambda,area,log_cone_contrast,var_log_cone_contrast,dataset,stim_id,t_frequency,orientation,eccentricity,vis_field
obs_16,25,7000,0.125,10,9,4,1,50.2654824574367,-2.34823598211765,0.008556690347853,hdr_csf,-1,0,0,0,0
obs_16,25,7000,0.125,11,9,4,1,50.2654824574367,-1.51199117847989,0.00834292609460176,hdr_csf,-1,0,0,0,0
obs_16,25,7000,0.25,10,9,2,1,12.5663706143592,-2.35614918341459,0.00829886089361277,hdr_csf,-1,0,0,0,0
obs_16,25,7000,0.25,11,9,2,1,12.5663706143592,-1.66274859766352,0.0077690341247675,hdr_csf,-1,0,0,0,0
obs_16,25,7000,0.5,10,9,1,1,3.14159265358979,-2.26375584248576,0.00701958276906416,hdr_csf,-1,0,0,0,0
obs_16,25,7000,0.5,11,9,1,1,3.14159265358979,-1.61127702987918,0.00747004371784142,hdr_csf,-1,0,0,0,0
obs_16,25,20,0.125,10,6,4,1,50.2654824574367,-2.57555467041996,0.00672422109150261,hdr_csf,-1,0,0,0,0
obs_16,25,20,0.125,11,6,4,1,50.2654824574367,-1.85492615198948,0.00938556441107051,hdr_csf,-1,0,0,0,0
obs_16,25,20,0.25,10,6,2,1,12.5663706143592,-2.70478402990909,0.00986796254595772,hdr_csf,-1,0,0,0,0
obs_16,25,20,0.25,11,6,2,1,12.5663706143592,-2.00276289231374,0.00853800463973976,hdr_csf,-1,0,0,0,0
obs_16,25,20,0.5,10,6,1,1,3.14159265358979,-2.39081776471663,0.00786475311209199,hdr_csf,-1,0,0,0,0
obs_16,25,20,0.5,11,6,1,1,3.14159265358979,-1.51412900546584,0.0158822542900432,hdr_csf,-1,0,0,0,0
obs_16,25,0.02,0.125,10,3,4,1,50.2654824574367,-1.24831025493038,0.00679065823560654,hdr_csf,-1,0,0,0,0
obs_16,25,0.02,0.125,11,3,4,1,50.2654824574367,-0.623603928465346,0.00736134255753317,hdr_csf,-1,0,0,0,0
obs_16,25,0.02,0.25,10,3,2,1,12.5663706143592,-1.09773533209159,0.00767331746731023,hdr_csf,-1,0,0,0,0
obs_16,25,0.02,0.25,11,3,2,1,12.5663706143592,-0.432304231452479,0.00476093946689487,hdr_csf,-1,0,0,0,0
obs_16,25,0.02,0.5,10,3,1,1,3.14159265358979,-1.03990546534326,0.00619624675840424,hdr_csf,-1,0,0,0,0
obs_16,25,0.02,0.5,11,3,1,1,3.14159265358979,-0.542561700882125,0.00559626450890726,hdr_csf,-1,0,0,0,0
obs_17,24,0.02,0.125,10,3,4,1,50.2654824574367,-1.16733879419085,0.0081977775151633,hdr_csf,-1,0,0,0,0
obs_17,24,0.02,0.125,11,3,4,1,50.2654824574367,-0.458579976560061,0.00579266414467192,hdr_csf,-1,0,0,0,0
obs_17,24,0.02,0.25,10,3,2,1,12.5663706143592,-1.12936154809839,0.00617682721203057,hdr_csf,-1,0,0,0,0
obs_17,24,0.02,0.25,11,3,2,1,12.5663706143592,-0.686327047386754,0.00679309996729599,hdr_csf,-1,0,0,0,0
obs_17,24,0.02,0.5,10,3,1,1,3.14159265358979,-1.03171165503509,0.00621762099959139,hdr_csf,-1,0,0,0,0
obs_17,24,0.02,0.5,11,3,1,1,3.14159265358979,-0.704495858523356,0.0115921444262779,hdr_csf,-1,0,0,0,0
obs_17,24,7000,0.125,10,9,4,1,50.2654824574367,-2.61485071396305,0.0124917785994704,hdr_csf,-1,0,0,0,0
obs_17,24,7000,0.125,11,9,4,1,50.2654824574367,-1.40284002749356,0.00848780995700976,hdr_csf,-1,0,0,0,0
obs_17,24,7000,0.25,10,9,2,1,12.5663706143592,-2.67244418895469,0.0085344603304206,hdr_csf,-1,0,0,0,0
obs_17,24,7000,0.25,11,9,2,1,12.5663706143592,-1.621040853723,0.00646334622964575,hdr_csf,-1,0,0,0,0
obs_17,24,7000,0.5,10,9,1,1,3.14159265358979,-2.62140072315785,0.0149779414542167,hdr_csf,-1,0,0,0,0
obs_17,24,7000,0.5,11,9,1,1,3.14159265358979,-1.42755597296953,0.0165928250623723,hdr_csf,-1,0,0,0,0
obs_17,24,20,0.125,10,6,4,1,50.2654824574367,-2.58035700189258,0.00898060263725385,hdr_csf,-1,0,0,0,0
obs_17,24,20,0.125,11,6,4,1,50.2654824574367,-2.02750689896987,0.00815366727488013,hdr_csf,-1,0,0,0,0
obs_17,24,20,0.25,10,6,2,1,12.5663706143592,-2.66825080703002,0.0147853902708617,hdr_csf,-1,0,0,0,0
obs_17,24,20,0.25,11,6,2,1,12.5663706143592,-1.9011441414705,0.00836287169739305,hdr_csf,-1,0,0,0,0
obs_17,24,20,0.5,10,6,1,1,3.14159265358979,-2.67669201504428,0.00727675755528828,hdr_csf,-1,0,0,0,0
obs_17,24,20,0.5,11,6,1,1,3.14159265358979,-1.60431983903727,0.0125470624664052,hdr_csf,-1,0,0,0,0
obs_19,24,20,0.5,9,6,1,1,3.14159265358979,-1.41630012387427,0.00624523950337257,hdr_csf,-1,0,0,0,0
obs_19,24,20,0.5,10,6,1,1,3.14159265358979,-2.40160919469405,0.0174713818244678,hdr_csf,-1,0,0,0,0
obs_19,24,20,1,9,6,0.5,1,0.785398163397448,-1.51898651597758,0.00807769505408343,hdr_csf,-1,0,0,0,0
obs_19,24,20,1,10,6,0.5,1,0.785398163397448,-2.00109005352418,0.0109687753958579,hdr_csf,-1,0,0,0,0
obs_19,24,20,1,11,6,0.5,1,0.785398163397448,-1.08691933962874,0.057327472619198,hdr_csf,-1,0,0,0,0
obs_19,24,20,2,9,6,0.25,1,0.196349540849362,-1.08280760657862,0.00506754349302098,hdr_csf,-1,0,0,0,0
obs_19,24,20,2,10,6,0.25,1,0.196349540849362,-1.39942043687752,0.00776069598203805,hdr_csf,-1,0,0,0,0
obs_19,24,20,2,11,6,0.25,1,0.196349540849362,-0.962372552586187,0.00576076997344049,hdr_csf,-1,0,0,0,0
obs_19,24,20,4,9,6,0.125,1,0.0490873852123405,-1.37431153489321,0.0266562106022384,hdr_csf,-1,0,0,0,0
obs_19,24,20,4,10,6,0.125,1,0.0490873852123405,-1.31899361705167,0.00836103166722378,hdr_csf,-1,0,0,0,0
obs_19,24,20,4,11,6,0.125,1,0.0490873852123405,-0.428427108294316,0.00395771599232033,hdr_csf,-1,0,0,0,0
obs_19,24,20,6,9,6,0.0833333333333333,1,0.0218166156499291,-0.584483298123887,0.00497124670005688,hdr_csf,-1,0,0,0,0
obs_19,24,20,6,10,6,0.0833333333333333,1,0.0218166156499291,-1.07201912860602,NaN,hdr_csf,-1,0,0,0,0
